pid,title,source,text
P0000_00,On the Town (film),https://en.wikipedia.org/wiki/On_the_Town_(film),"On the Town is a 1949 American Technicolor musical film with music by Leonard Bernstein and Roger Edens and book and lyrics by Betty Comden and Adolph Green. It is an adaptation of the Broadway stage musical of the same name produced in 1944, although many changes in the script and score were made to the original stage version; for instance, most of Bernstein's score was dropped in favor of new songs by Edens, who felt that the majority of Bernstein's music was too complex and too operatic for film audiences. This caused Bernstein to boycott the film."
P0001_00,Juan Soldevilla y Romero,https://en.wikipedia.org/wiki/Juan_Soldevila_y_Romero,"Juan Soldevila y Romero was a Spanish Cardinal of the Roman Catholic Church who served as Archbishop of Zaragoza from 1901 until his death, and was elevated to the rank of cardinal in 1919."
P0002_00,The Album (Haddaway album),https://en.wikipedia.org/wiki/The_Album_(Haddaway_album),"The Album is the debut album by Trinidadian-German Eurodance recording artist Haddaway, released in September 1993 by Coconut Records. It includes the hit singles ""What Is Love"", ""Life"", ""I Miss You"" and ""Rock My Heart"". The lead single, ""What Is Love"", was certified gold by the RIAA for sales of over 500,000 copies. In 2011, the album was released onto the iTunes Store by Razor & Tie."
P0003_00,Chances Are (film),https://en.wikipedia.org/wiki/Chances_Are_(film),"Chances Are is a 1989 American romantic fantasy comedy film directed by Emile Ardolino and starring Cybill Shepherd, Robert Downey Jr., Ryan O'Neal, and Mary Stuart Masterson in Panavision. The original music score was composed by Maurice Jarre."
P0004_00,The City (1916 film),https://en.wikipedia.org/wiki/The_City_(1916_film),"The City is a lost 1916 silent film based on Clyde Fitch's 1909 play, The City. It was distributed by the World Film Company."
P0005_00,Sixteen Candles,https://en.wikipedia.org/wiki/Sixteen_Candles,"Sixteen Candles is a 1984 American coming-of-age teen comedy film starring Molly Ringwald, Michael Schoeffling, and Anthony Michael Hall. Written and directed by John Hughes in his directorial debut, it was the first in a string of films Hughes would direct, centering on teenage life. The film follows newly 16-year-old Samantha Baker (Ringwald), who deals with a seemingly unrequited crush on high school senior Jake Ryan (Schoeffling) while also being pursued by freshman Ted ""The Geek"" Farmer (Hall)."
P0006_00,The Great Fire (TV series),https://en.wikipedia.org/wiki/The_Great_Fire_(TV_series),The Great Fire is a four-part television drama first shown on ITV from 16 October to 6 November 2014. It is set during the Great Fire of London in England in 1666. It was written by Tom Bradby and produced by Ecosse Films. Each hour-long episode is set in one day of the fire.
P0007_00,As You Like It (1936 film),https://en.wikipedia.org/wiki/As_You_Like_It_(1936_film),As You Like It is a 1936 British romantic comedy film directed by Paul Czinner and starring Laurence Olivier as Orlando and Elisabeth Bergner as Rosalind. It is based on William Shakespeare's play of the same name. It was Olivier's first performance of Shakespeare on screen.
P0008_00,Rise (Taeyang album),https://en.wikipedia.org/wiki/Rise_(Taeyang_album),"Rise is the second studio album by South Korean recording artist Taeyang, member of the boy group Big Bang. It is his first album in four years since Solar in 2010. Rise became the third highest charting K-pop album, and also the highest charting K-pop album by a Korean soloist on the Billboard 200 chart by debuting at number 112, number one on the Billboard World Albums Chart, number one on Heatseekers Albums Chart. The album also debuted at number one on the Gaon Album Chart. A Japanese edition of Rise was packaged as part of Taeyang's Japanese debut album,"
P0008_01,Rise (Taeyang album),https://en.wikipedia.org/wiki/Rise_(Taeyang_album),"album also debuted at number one on the Gaon Album Chart. A Japanese edition of Rise was packaged as part of Taeyang's Japanese debut album, Rise + Solar & Hot, on August 13, 2014."
